Sr. No. (CCA),Sr. No. (instrument),Date,Year,Capital control action,Link to capital control instrument,Category,Asset Class,Ease/tightening,Remarks
92,68,01-03-2013,2013,"Separate sub-limit of USD 1 billion for QFIs, USD 25 billion for FIIs and USD 25 billion for FIIs in long term infra bonds was merged into a single limit of USD 51 billion for corporate bonds.",https://www.sebi.gov.in/sebi_data/attachdocs/1364824242052.pdf,Investment Limit,Debt,1,
93,69,14-03-2013,2013,FIIs allowed to use investment in corporate bonds as collateral in cash and F&O segment.,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=7890&Mode=0,Investment Condition,Derivatives,1,
94,70,12-06-2013,2013,Limit enhanced from USD 25 billion to 30 billion,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=8033&Mode=0,Investment Limit,Debt,1,
95,71,13-08-2013,2013,QFIs allowed to invest in to be listed debt securities,https://www.sebi.gov.in/legal/circulars/aug-2013/investment-by-qualified-foreign-investors-qfis-in-to-be-listed-indian-corporate-debt-securities_25181.html,Investment Condition,Debt,1,
96,72,19-08-2013,2005,FIIs allowed to invest in security reciepts issued by ARCs upto 49% of the total reciepts issued. Exposure of individual FII should not exceed 10 per cent of the scheme,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=8318&Mode=0,Investment Condition,Debt,1,
97,73,11-11-2013,2013,FIIs/QFIs allowed to invest in credit enhanced bonds up to a limit of USD 5 billion within the overall limit of USD 51 billion,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=8563&Mode=0,Investment Condition,Debt,1,
98,74,07-01-2014,2014,FPI regulations notified by SEBI,https://www.sebi.gov.in/sebi_data/attachdocs/1389083605384.pdf,Investment Condition,General,1,
99,75,29-01-2014,2014,Enhances 5 bn sublimit for SWF/MDB/Pension/Insurance/Endowment/Foreign Central Banks in Government securities. The sub-limit enhanced to USD 10 billion,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=8721&Mode=0,Investment limit,Debt,1,
100,76,14-02-2014,2014,CP sub-limit reduced to encourage long term investments,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=8746&Mode=0,Investment Condition,Debt,0,
101,77,03-04-2014,2014,Harmonization of KYC requirements for FPIs,https://www.rbi.org.in/scripts/NotificationUser.aspx?Id=8824&Mode=0,Procedure,General,1,
