Case No,Bench,"Who filed?
(Corporate Debtor/ Operational Creditor/ Financial Creditor)",Type of Creditor ,Type of operational creditor,Type of financial creditor,Amount of Debt,Secured/ unsecured,Name of Corporate Debtor,Due Date for payment,Date of demand notice,Date of receipt/service of Demand Notice,Date of filing in NCLT,First date of case listing,Date of final disposal,Evidence of debt (What kind of document),Admitted/ dismissed,Category of reason for dismissal,Name of Insolvency Professional,URL,Appeal (Yes/No),Who appealed?,Appeal Allowed/Rejected
CP No. 40/1& BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Supplier,NA,31283758,Unsecured,Reliance Infrastructure Ltd.,Not available,21.01.2017,Not available,Not available,Not available,29.03.2017,Invoices and reconciliation statements signed between debtor and creditor,Dismisssed,Other,NA,http://nclt.c2k.in/OtherNCLT/Publication/Mumbai_Bench/2017/Other/101.pdf,N,NA,NA
CP No. 43/I&BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,6913400000,Secured,Gupta Energy Pvt.Ltd.,NA,NA,NA,Not available,21.03.2017,21.03.2017,NA,Admitted,NA,Mr. Charudutt Marathe,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/21Gupta%20Energy%20Pvt.Ltd.%20Dated%2043-2017%20CP%2043-2017%20FINAL.pdf,N,NA,NA
CP No. 30/I&BP/NCLT/(MAH)/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,815227433,Secured,Marmagoa Steel Ltd.,NA,NA,NA,Not available,20.03.2017,20.03.2017,NA,Admitted,NA,Mr. Pravin R. Navandar,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Marmagoa%20Steel%20Ltd.%20Dated%2020.03.2017%20CP%2030-2017%20FINAL.pdf,N,NA,NA
CP No. 33/I&BP/NCLT/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Supplier,NA,2314240,Unsecured,Janata Chemicals Pvt.Ltd.,Not available,06.02.2017,Not available,Not available,15.03.2017,15.03.2017,Invoices and bank statement of operational creditor,Admitted,NA,Mr. Amit Gupta,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Janata%20Chemicals%20Pvt.Ltd.%20Dated%2015.03.2017%20CP%2033-2017%20FINAL.pdf,N,NA,NA
CP No. 04/I& BP/NCLT/MB/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Supplier,NA,Not available,Unsecured,Miltech Industries Private Limited,Not available,Not available,Not available,12.01.2017,18.01.2017,14.03.2017,Unclear,Dismissed,Other,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1J%20J%20Plastalloy%20Pvt.%20Ltd.%20MA%2048-2016%20CP%2004-2017%20I&BP%20Order%20dated%20on%2014.03.2017%20FINAL.pdf,N,NA,NA
CP No. 17/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Service provider (construction),NA,38600000,Unsecured,M/s Supreme Infrastructure India Ltd. & Ors.,06.10.2016,Not available,Not available,21.02.2017,10.03.2017,10.03.2017,Unclear,Dismissed,No demand notice,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/Supreme%20Infrastructure%20India%20Ltd.%20&Ors.%20CP%2017-I&BP-2017%20Order%20dated%20on%2010.03.2017%20Final.pdf,N,NA,NA
CP No. 31/I & BP/NCLT/MAAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,25800700000,Secured,Gupta Coal India Pvt. Ltd.,Not available,NA,NA,Not available,09.03.2017,09.03.2017,NA,Admitted,NA,Mr. Devandra Singh,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1Gupta%20Coal%20India%20Pvt.%20Ltd.%20CP%2031-2017%20I&BP%20Order%20dated%20on%2009.03.2017%20FINAL.pdf,N,NA,NA
CP No. 18/I & BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,345739808,Secured,1Facor Steel Ltd.,Not available,NA,NA,Not available,08.03.2017,08.03.2017,NA,Admitted,NA,CS Sunil Gajanan Nanal,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1Facor%20Steel%20Ltd.%20CP%2018-I&BP-2017%20Order%20dated%20on%2008.03.2017%20FINAL.pdf,Yes[Company Appeal (AT)(Ins) No 36 of 2017],Financial Creditor,Rejected
CP No. 20/I & BP/NCLT/MAH/2017,Mumbai Bench,Creditor,Operational Creditor,Service provider (construction),NA,91060788,Unsecured,MCL Global Steel Pvt. Ltd.,30.11.2016,28.12.2016,Not available,Not available,06.03.2017,06.03.2017,Invoices acknowledged by corporate debtor,Admitted,NA,CA Hashmukh Bhavanji Dedhia,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1Essar%20Projects%20India%20Ltd.%20VS%20MCL%20Global%20Steel%20Pvt.%20Ltd.%20CP%2020-2017%20I&BP%20Order%20dated%20on%2006.03.2017%20FINAL.pdf,N,NA,NA
29/I & BP/NCLT/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,183690000,Partially secured,Ultra Drytech Engineering Ltd.,NA,NA,NA,Not available,06.03.2017,06.03.2017,Loans and charges,Admitted,NA,Mr. Lalit Laxminarayan Bajaj,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1Ultra%20Drytech%20Engineering%20Ltd.%20CP%2029-2017%20I&BP%20Order%20dated%20on%2006.03.2017%20FINAL.pdf,N,NA,NA
