"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"(IB)297(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"2050385","M/s. Ashimori India (P) Ltd.","29.11.2012","20.06.2017","Not Available","Not Available","23.08.2017","10.10.2017","Dismissed",NA,"Multiple","N","N",NA,NA
"(IB)330(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"681014","Durha Infracon Private Limited","Not Available","30.06.2017","Not Available","Not Available","05.09.2017","17.10.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)298(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"11652275","Integrated Caps Private Limited","Not Available","11.04.2017","12.04.2017","Not Available","Not Available","17.10.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"(IB)320(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"Not Available","Cargo Planners Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","11.10.2017","Dismissed",NA,"Incomplete Application","N","N",NA,NA
"(IB)370(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"Not Available","M/s. Anya Polytech and Fertilizers Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","10.10.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"C. P. No. (IB) 399 (ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"3986530","Sungil India Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","03.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"C. P. No. (IB) 363 (ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"19291228","Murti Udyog Ltd.","Not Available","13.06.2017","Not Available","Not Available","Not Available","08.11.2017","Dismissed",NA,"Multiple","N","N",NA,NA
"C. P. No. (IB) 431 (ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"3125325+interest","Technofab Engineering Ltd.","Not Available","01.03.2017","Not Available","Not Available","Not Available","14.11.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"C. P. No. (IB) 451 (ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Not Available",NA,"Not Available","SPML Infra","Not Available","Not Available","Not Available","Not Available","Not Available","14.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"C. P. No. (IB) 473 (ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Not Available",NA,"Not Available","Oriental Pathways (Agra) Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","14.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"C. P. No. (IB) 400 (ND)/2017","New Delhi (Bench II)","Creditor","Financial Creditor",NA,"Bank","259384046.7","Ashoka Multiyarn Mills Ltd.","Not Available",NA,NA,"Not Available","Not Available","15.11.2017","Admitted","Mr. Pinaki Sarkar",NA,"N","N",NA,NA
"C. P. No. (IB) 375 (ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"3767411","Sequal Alloys and Wires Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","15.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"C. P. No. (IB) 364 (ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"1047226.95","Fenace Auto Ltd.","30.09.2015","04.07.2017","Not Available","Not Available","Not Available","15.11.2017","Admitted","Delegated to IBBI",NA,"N","N",NA,NA
"(IB)335(ND)/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"59440956","Bengal Unitech Universal Infrastructures","Not Available","Not Available","Not Available","Not Available","Not Available","16.11.2017","Dismissed",NA,"Multiple","N","N",NA,NA
"(IB)415/ND/2017","New Delhi (Bench II)","Corporate Debtor",NA,NA,NA,"60170086","Dream Land Realtor Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","21.11.2017","Admitted","Subhash Chand Agarwal",NA,"N","N",NA,NA
"(IB)417/ND/2017","New Delhi (Bench II)","Corporate Debtor",NA,NA,NA,"407497864","P.K. Sales Company Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","21.11.2017","Admitted","Shbhash Chand Agarwal",NA,"N","N",NA,NA
"(IB).434/ND/2017","New Delhi (Bench II)","Corporate Debtor",NA,NA,NA,"Unclear","Asis Plywood Ltd.","Not Available",NA,NA,"Not Available","Not Available","21.11.2017","Admitted","Devendra Padamchand Jain",NA,"N","N",NA,NA
"IB No(IB).450/ND/2017","New Delhi (Bench II)","Creditor","Operational Creditor","Vendor",NA,"858426.87","Sarash Exports Services Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","22.11.2017","Admitted","Rakesh Wadhwa",NA,"N","N",NA,NA
"IB-39(PB)/2017","New Delhi (Bench II)","Corporate Debtor",NA,NA,NA,"970000000","Unigreen Global Private Limited",NA,NA,NA,"Not Available","Not Available","08.05.2017","Dismissed",NA,"Other","N","Y","Corporate Debtor","Allowed"
