"Case.No.","Bench","Who.filed..Corporate.Debtor...Creditor","Type.of.Creditor...Financial.or.operational","Type.of.Operational.Creditor","Type.of.Financial.Creditor","Amount.of.Debt","Name.of.Corporate.Debtor","Due.Date.for.payment","Date.of.demand.notice","Date.of.receipt.service.of.Demand.Notice","Date.of.filing.in.NCLT","First.date.of.case.listing","Date.of.final.disposal","Admitted.Dismissed","Name.of.Insolvency.Professional","Category.for.reason.for.dismissal","BIFR...Y.N","Appeal...Y.N","Who.appealed.","Outcome.of.appeal"
"(IB)-115/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Corporate Lender","45796141","Sadbhav Enterprise Private Limited ","Not Available",NA,NA,"29.08.2017","31.08.2017","19.09.2017","Admitted","Mr. Umesh Ved ",NA,"N","N",NA,NA
"(IB)-114/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Bank","108258373.7","ABXL Retails (I) Private Limited ","Not Available",NA,NA,"24.08.2017","31.08.2017","19.09.2017","Admitted","Mr. Vikas Gautamchand Jain",NA,"N","N",NA,NA
"(IB)-92/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Corporate Lender","7894887","Onex Natura Private Limited ","Not Available",NA,NA,"09.08.2017","23.08.2017","20.09.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)-170/10/NCLT/AHM/2017","Ahmedabad Bench","Corporate Debtor",NA,NA,NA,"235019758","Aarohi Motors Private Limited ","Not Available",NA,NA,"05.09.2017","Not Available","21.09.2017","Admitted","Mr. Dipak Jamanbhai Rachcha",NA,"N","N",NA,NA
"(IB)122/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Patel Heat Exchangers Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","04.10.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"(IB)112/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Vendor",NA,"Not Available","Today's Writing Instruments Ltd.","Not Available","29.05.2017","Not Available","28.07.2017","30.08.2017","05.10.2017","Admitted","Mr. Navnitlal Bhatia",NA,"N","N",NA,NA
"C.P. (I.B) No. 146/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Komoline Aerospace Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","02.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"C.P. (I.B) No. 118/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Dhoraji Engineering Co. Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","02.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"C.P. (I.B) No. 121/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Silicon Jewel Industries Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","02.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"C.P. (I.B) No. 123A/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Alpha Particle Board Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","03.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"C.P. (I.B) No. 132/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Wind World (India) Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","07.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"C.P. (I.B) No. 126/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Narbada Forest Industries Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","08.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"C.P. (I.B) No. 119/10/NCLT/AHM/2017","Ahmedabad Bench","Corporate Debtor",NA,NA,NA,"615480329.7","Jalaram Cottons and Proteins Ltd.","Not Available",NA,NA,"Not Available","Not Available","15.11.2017","Admitted","CA Prem Ladhdha",NA,"N","N",NA,NA
"CP(IB)No. 155/9/NCLT/AHM/2","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","IPEX India Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","16.11.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP(IB)No. 133/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Wind World (India) Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","17.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB)No. 128/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Bank","1437957715","Varia Aluminium Pvt. Ltd.","Not Available",NA,NA,"Not Available","Not Available","20.11.2017","Admitted","Sanjay Gupta",NA,"N","N",NA,NA
"CP(IB)No. 131/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Vendor",NA,"4159903","Cryogas Equipment Pvt. Ltd.","31.01.2017","28.06.2017","Not Available","Not Available","Not Available","21.11.2017","Dismissed",NA,"Defective Petition","N","N",NA,NA
"CP(IB)No. 156/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Agroh Infrastructure Developer Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","27.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB)No. 163/09/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","JBF Petrochemicals","Not Available","Not Available","Not Available","Not Available","Not Available","28.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB)No. 116/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Bank","616737712","Gujarat Foils Ltd.","Not Available",NA,NA,"Not Available","Not Available","30.11.2017","Admitted","Alok Kailash Saksena",NA,"N","N",NA,NA
"CP(IB)No. 164/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"Bank","832873387","Sai Infosystem (India) Ltd.","Not Available",NA,NA,"Not Available","Not Available","30.11.2017","Admitted","Parag Sheth",NA,"N","N",NA,NA
"CP(IB)No. 138/7/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Financial Creditor",NA,"NBFC","8265349.21","Logix Express Pvt Ltd","Not Available",NA,NA,"Not Available","25.10.2017","30.11.2017","Admitted","Dhiren Shantilal Shah",NA,"N","N",NA,NA
"CP(IB)No. 176/9/NCLT/AHM/2017","Ahmedabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Apple Weightinfra Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","30.11.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"CP(IB)/10/ALD/2017","Allahabad Bench","Creditor","Operational Creditor","Not Available",NA,"1706766","Juggilal Kamlpat Jute Mills Company Limited","Not Available","Not Available","Not Available","Not Available","Not Available","03.05.2017","Dismissed",NA,"Other","N","Y","Corporate Debtor","Allowed"
"CP(IB)/36/ALD/2017","Allahabad Bench","Creditor","Operational Creditor","Employee",NA,"1319000000","Juggilal Kamlpat Jute Mills Company Limited","Not Available","14.03.2017","Not Available","28.03.2017","Not Available","28.04.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP(IB)/23/ALD/2017","Allahabad Bench","Corporate Debtor",NA,NA,NA,"94800000","Raman Ispat Private Limited","Not Available",NA,NA,"Not Available","Not Available","11.04.2017","Admitted","Mr.Praveen Bansal",NA,"Y","N",NA,NA
"CP(IB)/25/ALD/2017","Allahabad Bench","Corporate Debtor",NA,NA,NA,"13320000000","JODPL Private Limited","Not Available",NA,NA,"Not Available","Not Available","17.03.2017","Admitted","Mr.Dinkar T Subramanium",NA,"N","N",NA,NA
"CP(IB)/24/ALD/2017","Allahabad Bench","Corporate Debtor",NA,NA,NA,"Not Available","JEKPL Private Limited","Not Available",NA,NA,"Not Available","Not Available","17.03.2017","Admitted","Mr.Dinkar T Subramanium",NA,"N","N",NA,NA
"CP (IB) No. 55/CB/Ald/2017","Allahabad Bench","Corporate Debtor",NA,NA,NA,"3512191000","LML Ltd.","Not Available",NA,NA,"Not Available","Not Available","30.05.2017","Admitted","Anil Goel",NA,"N","N",NA,NA
"CP (IB) No. 12/Ald/2017","Allahabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","H.L. Tech Fabrics Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","31.05.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP (IB) No. 13/Ald/2017","Allahabad Bench","Creditor","Operational Creditor","Vendor",NA,"50843252","Swadisht Oils Pvt. Ltd.","Not Available","18.01.2017","Not Available","Not Available","Not Available","01.06.2017","Admitted","Delegated to IBBI",NA,"N","Y","Creditor","Allowed"
"CP (IB) No. 14/Ald/2017","Allahabad Bench","Creditor","Operational Creditor","Vendor",NA,"2859514","Swadisht Oils Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","01.06.2017","Admitted","Delegated to IBBI",NA,"N","Y","Creditor","Allowed"
"CP (IB) No. 16/Ald/2017","Allahabad Bench","Creditor","Operational Creditor","Vendor",NA,"2475178","Swadisht Oils Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","01.06.2017","Admitted","Delegated to IBBI",NA,"N","Y","Creditor","Allowed"
"CP (IB) No. 15/Ald/2017","Allahabad Bench","Creditor","Operational Creditor","Vendor",NA,"2466392","Swadisht Oils Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","01.06.2017","Admitted","Delegated to IBBI",NA,"N","Y","Creditor","Allowed"
"CP (IB) No. 17/Ald/2017","Allahabad Bench","Creditor","Operational Creditor","Vendor",NA,"1497879","Swadisht Oils Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","01.06.2017","Admitted","Delegated to IBBI",NA,"N","Y","Creditor","Allowed"
"CP (IB) No. 36/BB/2017","Allahabad Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Kotak Mahindra Bank and Ors.","Not Available","Not Available","Not Available","Not Available","Not Available","04.07.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"60/ALD/2017","Allahabad Bench","Creditor","Operational Creditor","Employee",NA,"940000","Wegilant Net Solutions Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","28.07.2017","Admitted","Not Available",NA,"N","N",NA,NA
"(IB)18/ALD/2017","Allahabad Bench","Creditor","Operational Creditor","Vendor",NA,"592049559","South East U.P. Power Transmission Co. Ltd.","Not Available","21.12.2016","Not Available","27.02.2017","Not Available","04.08.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP.No(IB)77/ALD/2017","Allahabad Bench","Creditor","Financial Creditor",NA,"Bank","5261140827","Jaypee Infratech Ltd.","Not Available",NA,NA,"Not Available","Not Available","09.08.2017","Admitted","Not Available",NA,"N","N",NA,NA
"CP.No.(IB)68/ALD/2017","Allahabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Jaypee Infratech Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","28.08.2017","Dismissed",NA,"Other","N","N",NA,NA
"(IB)-70/ALD/2017 & (IB)-71/ALD/2017","Allahabad Bench","Creditor","Financial Creditor",NA,"Bank","5537821955","Rotomac Global Private Limited & Rotomac Exports Private Limited ","Not Available",NA,NA,"Not Available","Not Available","20.09.2017","Admitted","Mr. Anil Goel",NA,"N","N",NA,NA
"(IB)-19/BB/2017 ","Allahabad Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Ken Consulting Private Limited ","Not Available","Not Available","Not Available","Not Available","28.04.2017","20.09.2017","Dismissed",NA,"Non-prosecution","N","N",NA,NA
"CP (IB) No. 127/Ald/2017","Allahabad Bench","Creditor","Operational Creditor","Not Available","Not Available","18886429","YMS Mobitech Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","23.10.2017","Admitted","Mr. Prabhatjit Singh Soni",NA,"N","N",NA,NA
"CP(IB).No.113/ALD/2017","Allahabad Bench","Creditor","Financial Creditor",NA,"Bank","1184192137","Parerhat Gas Industries Ltd.","Not Available",NA,NA,"Not Available","Not Available","30.11.2017","Admitted","Anupam Tiwari",NA,"N","N",NA,NA
"CP(IB) No 1/BB/17","Bengaluru Bench","Creditor","Operational Creditor","Vendor",NA,"11834618","Falcon Tyres Limited","Not Available","24.01.2017","Not Available","10.03.2017","Not Available","28.04.2017","Admitted","Anand Ramchandra Bhat",NA,"N","N",NA,NA
"CP(IB) No 13/BB/17","Bengaluru Bench","Corporate Debtor",NA,NA,NA,"101521050","24*7 Learning Private Limited","Not Available",NA,NA,"Not Available","Not Available","28.04.2017","Admitted","Ramesh Kumar Bhat",NA,"N","N",NA,NA
"CP(IB) No 17/2017","Bengaluru Bench","Creditor","Operational Creditor","Vendor",NA,"Not Available","Avni Energy Solutions Private Limited","Not Available","Not Available","Not Available","Not Available","Not Available","17.04.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) No 6/BB/17","Bengaluru Bench","Creditor","Operational Creditor","Vendor",NA,"450778","Jackonblock Facility Services Private Limited","Not Available","01.03.2017","Not Available","Not Available","Not Available","17.04.2017","Admitted","Mr.Thirupal Gorige",NA,"N","N",NA,NA
"CP(IB).No.04/BB/2017","Bengaluru Bench","Not Available","Not Available","Not Available","Not Available","Not Available","G.K. Shelters Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","21.07.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB).No.27/BB/2017","Bengaluru Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Le Ecosystem Technology India Pvt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","16.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) NO.16/BB/2017","Bengaluru Bench","Creditor","Not Available","Not Available","Not Available","Not Available","R K Swamy BBDO PVt. Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","23.08.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB)No.39/BB/2017","Bengaluru Bench","Creditor","Not Available","Not Available","Not Available","Not Available","Siesta Hospital Services Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","31.08.2017","Dismissed",NA,"Settlement","Not Available","N",NA,NA
"(IB)-44/Chd/Pb/2017 ","Bengaluru Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Mahajan Engineering Works Private Limited ","Not Available","Not Available","Not Available","Not Available","Not Available","06.09.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) No. 96/BB/17","Bengaluru Bench","Creditor","Operational Creditor","Not Available",NA,"Not Available","Adarsh Realty and Hotels Pvt Ltd","Not Available","Not Available","Not Available","Not Available","Not Available","28.11.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No. 16/Chd/PB/2017 ","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"956200000","Dunn Foods Private Limited","Not Available",NA,NA,"Not Available","25.04.2017","02.05.2017","Admitted","Mr. Krishnan Vind Jain",NA,"N","N",NA,NA
"CP(IB) No. 15/Chd/CHD/2017 ","Chandigarh Bench","Creditor","Financial Creditor",NA,"Bank","525719407","James Hotels Ltd.","Not Available",NA,NA,"Not Available","07.04.2017","27.04.2017","Admitted","Navneet Gupta",NA,"N","Y","Corporate Debtor","Withdrawn"
"CP(IB) No. 9/Chd/PB/2017 ","Chandigarh Bench","Creditor","Operational Creditor","Not Available",NA,"3485549","Panacea Biotech Limited","Not Available","Not Available","Not Available","Not Available","03.04.2017","18.04.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) No. 10/Chd/Hry/2017 ","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"1411600000","SRS Modern Sales Limited","Not Available",NA,NA,"Not Available","Not Available","17.04.2017","Admitted","Sameer Rastogi",NA,"N","N",NA,NA
"CP(IB) No. 8/Chd/CHD/2017 ","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"23000000","Super MultiColor Printers Private Limited","Not Available",NA,NA,"Not Available","Not Available","07.04.2017","Admitted","Prakash Dev Sharma",NA,"Y","N",NA,NA
"CP(IB) No. 13/Chd/Hry/2017   CP(IB) No. 14/Chd/Hry/2017  ","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"1249307","Meyer Apparel Limited","Not Available","15.02.2017","Not Available","Not Available","Not Available","07.04.2017","Admitted","Arun Jain",NA,"N","Y","Corporate Debtor","Allowed"
"CP(IB) No. 9/Chd/CHD/2017 ","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"182900000","Sky Blue Papers Private Limited","Not Available",NA,NA,"Not Available","30.03.2017","07.04.2017","Admitted","Jalesh Kumar Grover",NA,"N","N",NA,NA
"CP(IB) No. 7/Chd/HR/2017 ","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"846100000","Recorders and Medicare System Private Limited","Not Available",NA,NA,"Not Available","15.03.2017","16.03.2017","Admitted","Purushottam Ram Singhania",NA,"Y","N",NA,NA
"CP(IB) No. 1(Chd)/2017 ","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"62850631","Hind Motors Limited","Not Available",NA,NA,"Not Available","03.02.2017","14.02.2017","Admitted","Manik Goyal",NA,"N","Y","Corporate Debtor","Allowed"
"CP(IB) No. 19/Chd/Hry/2017 ","Chandigarh Bench","Creditor","Financial Creditor",NA,"Corporate Lender","20000000","Y.K. Developers Private Limited","09.06.2016",NA,NA,"Not Available","01.05.2017","09.05.2017","Dismissed",NA,"Other","N","N",NA,NA
"CP(IB) No. 11/PB/2017 ","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"960000000","Isolux Corsan India Engineering","Not Available","03.01.2017","Not Available","Not Available","25.04.2017","08.05.2017","Dismissed",NA,"Other","N","Y","Creditor","Rejected"
"CP(IB)No.36/Chd/CHD/2017","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"1195000000","Shivek Labs Ltd","Not Available",NA,NA,"Not Available","Not Available","06.07.2017","Admitted","Mr. Vivek Kumar Arora",NA,"Y","N",NA,NA
"CP(IB)No.38/Chd/Pb/2017","Chandigarh Bench","Corporate Debtor",NA,NA,NA,"Not Available","Oasis Agro Infra Ltd.","Not Available",NA,NA,"Not Available","Not Available","07.07.2017","Dismissed",NA,"Withdrawn","N","N",NA,NA
"34/Chd/J&K/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"4741942","M/S. Jammu Paper Ltd.","30.08.2014","20.03.2017","24.03.2017","15.05.2017","30.06.2017","10.07.2017","Admitted","Referred to IBBI",NA,"N","Y","Corporate Debtor","Allowed"
"CP(IB) No.24/Chd/Hry/2017","Chandigarh Bench","Creditor","Not Available","Not Available","Not Available","6060900","Amtek Auto Ltd.","Not Available","Not Available","Not Available","Not Available","Not Available","18.05.2017","Dismissed",NA,"Settlement","N","N",NA,NA
"CP(IB) No.23/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"10681554","Foremost International Pvt. Ltd.","Not Available","07.04.2017","13.04.2017","Not Available","08.05.2017","22.05.2017","Dismissed",NA,"Existing Dispute","N","N",NA,NA
"CP(IB) No.21/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"314113436","Arcotech Ltd.","18.12.2015","07.02.2017","13.02.2017","Not Available","08.05.2017","25.05.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"CP(IB) No.22/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Others",NA,"431115190","Uttam Galwa Metallics Ltd.","Not Available","14.02.2017","Not Available","Not Available","08.05.2017","01.06.2017","Dismissed",NA,"Existing Dispute","N","Y","Creditor","Rejected"
"33/Chd/Hry/2017","Chandigarh Bench","Creditor","Operational Creditor","Vendor",NA,"4144311","Isolux Corsan India Engineering and Construction Pvt. Ltd","Not Available","04.04.2017","Not Available","30.04.2017","03.07.2017","21.07.2017","Dismissed",NA,"Other","N","Y","Creditor","Rejected"
