Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
(IB)-204(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,MM Cargo Container Line Pvt. Ltd.,Not Available,30.06.2017,Not Available,Not Available,Not Available,27.07.2017,Invoices,Admitted,Not Available,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/16.pdf,N,N,NA,NA
(IB)-212(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Jap Infratech Pvt. Ltd,Not Available,28.02.2017,Not Available,Not Available,Not Available,27.07.2017,Invoices and delivery reciepts,Admitted,Not Available,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/19.pdf,N,Y,Corporate Debtor, Rejected
(IB)-229(ND)/2017,New Delhi (Bench II),Creditor,Financial Creditor,NA,Individual,Secured,Sumit Aviation Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,01.08.2017,Photocopies of cheques,Admitted,Mr. Abhisheh Anand,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/17.pdf,N,N,NA,NA
(IB)210(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,GTHS Retails Pvt. Ltd.,Not Available,14.06.2017,16.06.2017,07.07.2017,18.07.2017,03.08.2017,"Copies of purchase orders, invoices",Admitted,Not Available,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/21.pdf,N,N,NA,NA
(IB)-167(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unspecified,Agrante Infra Ltd.,Not Available,NA,NA,Not Available,Not Available,10.08.2017,Running Bills issued,Admitted,Not Available,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/24.pdf,N,N,NA,NA
(IB)-260(ND)/2017,New Delhi (Bench II),Creditor,Financial Creditor,NA,Individual,Secured,Mega Soft Infrastructure Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,23.08.2017,Copies of agreement/MOU ,Admitted,Mr. Abhishek Anand,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/37.pdf,N,N,NA,NA
(IB)-560(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Gee Ispat Pvt. Ltd.,Not Available,1.07.2017,10.07.2017,Not Available,08.08.2017,24.08.2017,"Purchase order, Invoices and Form C",Admitted,Mr. Shankar Choudhary,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/38.pdf,N,N,NA,NA
(IB)-211(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Amira Pure Foods Pvt. Ltd.,Not Available,10.06.2017,Not Available,Not Available,18.07.2017,24.08.2017,"Invoices, vouchers, ledger",Admitted,Mr. Prabhjit  Singh Soni,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/AmiraPureFoodsPvtLtd_28_08_2017.pdf,N,N,NA,NA
CP No-(IB)292(ND)/2017,New Delhi (Bench II),Corporate Debtor,NA,NA,NA,Unsecured,Ang Industries Limited,Not Available,Not Available,Not Available,Not Available,Not Available,31.08.2017,"Provisional Financial statments, bank account statements",Admitted,Mr. Ilam Chand Kamboj,NA,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/48.pdf,N,N,NA,NA
IB no.(IB)-269(ND)/2017,New Delhi (Bench II),Creditor,Operational Creditor,Vendor,NA,Unsecured,Bharat Heavy Electricals Ltd.,Not Available,Not Available,Not Available,09.08.2017,Not Available,31.08.2017,Invoices,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/New_Delhi_Bench/2017/Others/Teknow%20Consultants%20&%20engineers%20Pvt.%20Ltd..pdf,N,Y,Creditor, Rejected (withdrawn)
(IB)-199(ND)/2017,New Delhi (Bench III),Creditor,Operational Creditor,Vendor,NA,Unsecured,Fenace Auto Ltd.,Not Available,Not Available,Not Available,Not Available,10.07.2017,11.08.2017,"Purchase orders, invoices Form C",Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/131.pdf,N,Y,Creditor,Allowed
No.IB-189(ND)/2017,New Delhi (Bench III),Creditor,Financial Creditor,NA,Bank,Secured,Namdhari Food International Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,30.08.2017,"Statment of accounts, Bankers book",Admitted,Mr. Mukul Bansal,NA,http://nclt.gov.in/Publication/New_Delhi_Bench_III/2017/Others/146.pdf,N,N,NA,NA
1023/I&BP/NCLT/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Employee,NA,Unsecured,Elektrans Shipping Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/740.pdf,N,N,NA,NA
1039/I&BP/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,Bank,Secured,Monnet Ispat & Energy Ltd.,Refer the remarks column for stand alone dates,NA,NA,Not Available,Not Available,18.07.2017,"Loan and guarantee agreements, working capital consortium agreement, letters of credit",Admitted,Mr. Sumit Binani ,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/741.pdf,N,N,NA,NA
507/I&BP/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Gammon India Ltd.,"29.11.2016-sub-contract work done, 28.10.2015- hire charges ",16.03.2017,Not Available,Not Available,Not Available,19.07.2017,"letter of intent, emails and  work orders",Dismissed,NA,Existing dispute,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/738.pdf,N,Y,Creditor,Rejected
716/I&BP/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,Corporate lender,Secured,Ellora Papers Mills Ltd.,11.03.2011,NA,NA,Not Available,Not Available,19.07.2017,"Loan Agreement, Corporate Debtor's Books of acoounts and Balance sheet for the years 2011-12,2012-13,2013-14 and 2014-15",Admitted,Mr. Mohan Ram Goenka,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/737.pdf,N,Y,Corporate Debtor,Rejected
1081/I&BP/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Uttara Foods and Feed Pvt. Ltd.,09.08.2014,15.03.2017,Not Available,09.06.2017,13.06.2017,19.07.2017,Not Available,Admitted,Not Available,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/736.pdf,N,N,NA,NA
1201/I&BP/NCLT/MB/(MAH)/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,Corporate lender,Unspecified,Kumar Motors Pvt. Ltd.,01.05.2013,NA,NA,Not Available,Not Available,19.07.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/855.pdf,N,N,NA,NA
593/MAH/2017,Mumbai Bench ,Unspecified,Unspecified,Not Available,Unspecified,Not Available,Pancard Clubs Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,20.07.2017,Not Available,Dismissed,NA,Not Available,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/983.pdf,N,N,NA,NA
1061/I&BP/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,Bank,Secured,Guruashish Construction Pvt. Ltd.,30.09.2014,NA,NA,Not Available,Not Available,24.07.2017,"Term loan agreement, simple mortgage deed, supplementary mortgage deed, CRILC report, Letters of guarantee, Banker's Book",Admitted,Mr. C.A. Rajendra K Bhutta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/750.pdf,N,N,NA,NA
1149/MAH/2017,Mumbai Bench ,Unspecified,Unspecified,Not Available,Unspecified,Not Available,Klowin Infrastructures Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/990.pdf,N,N,NA,NA
356/I&BP/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Not Available,NA,Not Available,Richa India Infra Development Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1297.pdf,N,N,NA,NA
1119/MAH/2017,Mumbai Bench ,Creditor,Unspecified,Not Available,Unspecified,Not Available,Nirmal Lifestyle Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1431.pdf,N,N,NA,NA
1147/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Teracom Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1989.pdf,N,N,NA,NA
1143/MAH/2017,Mumbai Bench ,Creditor,Unspecified,Not Available,Unspecified,Not Available,Supreme Infrastructure (I) Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/994.pdf,N,N,NA,NA
1219/(MAH)/2017,Mumbai Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Dolphin Offshore Enterprises (I) Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1884.pdf,N,N,NA,NA
230/I&BP/2017,Mumbai Bench ,Creditor,Operational Creditor,Not Available,NA,Not Available,Reify Artisans and Projects Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,27.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1310.pdf,N,N,NA,NA
1174/I&BP/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Not Available,NA,Not Available,Nouveau Global Ventures Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,27.07.2017,Not Available,Dismissed,NA ,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1309.pdf,N,N,NA,NA
1215/MAH/2017,Mumbai Bench ,Creditor,Unspecified,Not Available,Unspecified,Not Available,SSV Developers and Builders Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,28.07.2017,Not Available,Dismissed,NA,Defective Petition,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1044.pdf,N,N,NA,NA
1078/I&BP/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Not Available,Ruparel Estates India Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,28.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1311.pdf,N,N,NA,NA
1079/I&BP/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Not Available,Sarvesh Builders (I) Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,28.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1312.pdf,N,N,NA,NA
593/I&BP/NCLT/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Pancards Club Ltd.,Not Available,25.01.2017,30.01.2017,Not Available,Not Available,29.07.2017,Invoices raised,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/827.pdf,N,N,NA,NA
 1085/I&BP/NCLT/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Pancards Club Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,29.07.2017,NA,Dismissed,NA,Other,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/827.pdf,N,Y,Creditor,Rejected
1088/I&BP/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Not Available,Nutri First Agro international Pvt. ltd.,Not Available,18.04.2017,21.04.2017,Not Available,Not Available,31.07.2017,"purchase orders, invoices raised and letters of intent, bank statements ",Admitted,Not Available,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/835.pdf,N,N,NA,NA
1168/I&BC/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Pittie Polymers Pvt. Ltd.,Not Available,21.02.2017,23.02.2017,Not Available,Not Available,31.07.2017,Bills ,Dismissed,NA,Time barred,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/838.pdf,N,N,NA,NA
CP No. 1101/I&BP/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Jord Engineers India Ltd.,Not Available,26.04.2017,Not Available,Not Available,Not Available,31.07.2017,Invoices raised ,Admitted,Not Available,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/930.pdf,Y,Y,Corporate Debtor,Allowed
1169/MAH/2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,DBM Geotechnics and Constructions Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,01.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1061.pdf,N,N,NA,NA
1202/I&BP/NCLT/MB/MAH/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Not Available,KSS Petron Pvt. Ltd.,Not Available,NA,NA,11.07.2017,Not Available,01.08.2017,NPA Letters,Admitted,Mr. Vineet K Chaudhary,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/2049.pdf,N,N,NA,NA
1213/MAH/2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,Mahavir Roads and Infrastructure Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,01.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1062.pdf,N,N,NA,NA
1187/MAH//2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,Satelite Gazebo Developers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,04.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/917.pdf,N,N,NA,NA
1189/MAH//2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,Satelite Gazebo Developers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,04.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/939.pdf,N,N,NA,NA
1188/MAH//2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,Satelite Gazebo Developers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,04.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1072.pdf,N,N,NA,NA
1191/MAH//2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,Satelite Gazebo Developers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,04.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1069.pdf,N,N,NA,NA
1190/MAH//2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,Satelite Gazebo Developers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,04.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1067.pdf,N,N,NA,NA
1159/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Cinnic Fashion (I) Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,04.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/2155.pdf,N,N,NA,NA
1140/I&BP/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,NBFC,Unsecured,Maharashtra Vidyut Nigam Pvt. Ltd.,01.10.2015,NA,NA,Not Available,Not Available,04.08.2017,"Working Capital Demand Loan agreement, letter of intent , personal guarantor agreement",Admitted,Mr. Javadshah Vasa,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1004.pdf,N,N,NA,NA
1051/I&BP/NCLT/MAH/2017,Mumbai Bench ,Corporate Debtor,NA,NA,NA,Secured and unsecured(operational Creditors),Brown Kraft Industries Ltd.,Not Available,NA,NA,Not Available,Not Available,07.08.2017,Financial Statements,Admitted,Mr. Adesh Kumar Mehta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/877.pdf,N,N,NA,NA
1163/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Starwing Developers Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,07.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/2163.pdf,N,N,NA,NA
1233/(MAH)/2017,Mumbai Bench ,Creditor,Not Available,Not Available,Not Available,Not Available,Swarnsparsh Gems and Jewellery Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,08.08.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/954.pdf,N,N,NA,NA
CP No. 1161/I&BP/2017,Mumbai Bench,Corporate Debtor,NA,NA,NA,Secured and unsecured,Parte Casters Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,14.08.2017,"sanction letter, register of charges, SAFAESI Notice",Admitted,Mr. Jitendra Palande,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/921.pdf,N,N,NA,NA
CP NO.1066/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured ,Goa Antibiotics And Pharmaceuticals Ltd.,25.11.1998(date of default),10.05.2017,13.05.2017,Not Available,Not Available,14.08.2017,"Delivery Challans, invoices ",Admitted,Not Available,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/928.pdf,Y,Y,Corporate Debtor,Allowed
1268/IBC/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,S.N. Plumbing Pvt. Ltd. and Others,Not Available,17.07.2017,Not Available,Not Available,Not Available,16.08.2017,Invoices ,Admitted,Mr. Sanjay Kumar Ruia,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1252.pdf,N,N,NA,NA
1092/I&BC/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,Bank,Secured,Kamla Real Estate Hub Pvt. Ltd.,26.11.2015,NA,NA,Not Available,Not Available,16.08.2017,"loan agreements, demand promissory note, letter of continuity, bank statement",Admitted,Mr. Rajeev Mannadiar,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1251.pdf,N,N,NA,NA
1198/I&BP/NCLT/MB/MAH/2017,Mumbai Bench ,Corporate Debtor,NA,NA,NA,Secured,Indo-Krishna Greenfields Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.08.2017,"Demand promissory note,personal gaurantor, ledger accounts",Admitted,Mr. Charudutt Marathe,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1265.pdf,N,N,NA,NA
654/I&BP/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,Co-operative Bank,Secured,Raphel Engineering Pvt. Ltd.,Not Available,NA,NA,09.06.2017,Not Available,18.08.2017,"Loan agreement, sanction letter,Undertakings, promissory notes, ",Admitted,Mr. Rajendra Karanmal Bhuta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1138.pdf,N,N,NA,NA
82/I&BP/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Operational Creditor,Others,NA,Not Available,Yog Industries Ltd.,Not Available,12.07.2017/26/7/2017,02.08.2017,Not Available,Not Available,22.08.2017,Invoices,Admitted,Not Available,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1017.pdf,N,N,NA,NA
1211/I&BCP/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,NBFC,Not Available,V-Tech Elastomers Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,22.08.2017,"Loan agreement, demand promissory note, post dated cheques",Admitted,Mr. Devendra Padamchand Jain,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1132.pdf,N,N,NA,NA
224/I&BC/NCLT/MB/2017,Mumbai Bench ,Creditor,Operational Creditor,Vendor,NA,Unsecured,Housing Development and Infrastructure Ltd.,09.10.2013,25.03.2017,Not Available,22.03.2017,Not Available,23.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1227.pdf,N,N,NA,NA
CP No. 1217/(MAH)/2017,Mumbai Bench,Creditor,Not Available,Not Available,Not Available,Not Available,Kumar Builders Mumbai Realty Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,23.08.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1858.pdf,N,N,NA,NA
1214/I&BP/NCLT/MB/MAH/2017,Mumbai Bench ,Corporate Debtor,NA,NA,NA,Secured,Wig Associates Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,24.08.2017,"Loan agreement, financial statements",Admitted,Mr. S.K. Golla,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1134.pdf,N,N,NA,NA
1184/I&BC/NCLT/MB/MAH/2017,Mumbai Bench ,Corporate Debtor,NA,NA,NA,Secured,H.P. Ore Processors Pvt. Ltd.,Not Available,NA,NA,Not Available,Not Available,28.08.2017,"Personal guarantee, forms of charge with MCA",Admitted,Mr. Ranjit Dnyanchand Jain,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1320.pdf,N,N,NA,NA
1148/I&BC/NCLT/MB/MAH/2017,Mumbai Bench ,Corporate Debtor,NA,NA,NA,Secured,Fortune Pharma Pvt. Ltd,Not Available,NA,NA,29.06.2017,Not Available,28.08.2017,"Loan agreement , mortgage dedds",Admitted,Mr. S.K. Golla,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1092.pdf,N,N,NA,NA
1170/I&BC/NCLT/MB/MAH/2017,Mumbai Bench ,Creditor,Financial Creditor,NA,Bank,Secured,Vindhya Vasini Industries Ltd.,Not Available,13.02.2017,NA,04.07.2017,Not Available,29.08.2017,Working Capital & Term Consortium agreement ,Admitted,Mr. Sanjay Gupta,NA,http://nclt.gov.in/Publication/Mumbai_Bench/2017/Others/1334.pdf,N,N,NA,NA
CP(IB) No. 351/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Powermax (India) Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,13.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/63.pdf,N,N,NA,NA
CP(IB) No. 352/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Hindustan Motors Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/65.pdf,N,N,NA,NA
303/KB/2017,Kolkata Bench,Corporate Debtor,NA,NA,NA,Not Available,Bihar State Construction Corporation Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,18.07.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/254.pdf,N,N,NA,NA
341/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Ganesh Sponge Pvt.Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,19.07.2017,Not Available,Not known,NA,NA,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/239.pdf,N,Y,Corporate Debtor,Allowed
169/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,StSalit Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,19.07.2017,Not Available,Dismissed,NA,Non-prosecution,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/237.pdf,N,N,NA,NA
361/KB/2017,Kolkata Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Electrosteel Steels Ltd.,Not Available,NA,NA,Not Available,Not Available,21.07.2017,Not Available,Not known,NA,NA,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/81.pdf,N,N,NA,NA
CP (IB) No. 330/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Emta Coal Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/244.pdf,N,N,NA,NA
CP(IB) No.227/KB/2017,Kolkata Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Bengal Emta Coal Mines Ltd.,Not Available,NA,NA,Not Available,Not Available,24.07.2017,Not Available,Dismissed,NA,Settlement,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/243.pdf,N,N,NA,NA
CP(IB) No.287/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Kyle Lifestyle Pvt. Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,24.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/249.pdf,N,N,NA,NA
366/KB/2017,Kolkata Bench,Creditor,Unspecified,Not Available,Unspecified,Not Available,IAG Glass Company Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,25.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/103.pdf,N,N,NA,NA
CP(IB) No.359/KB/2017,Kolkata Bench,Creditor,Financial Creditor,NA,Bank,Not Available,Binani Cements Ltd.,Not Available,NA,NA,Not Available,Not Available,25.07.2017,Not Available,Not known,NA,NA,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/250.pdf,N,N,NA,NA
323/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,Usha Martin Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,26.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/88.pdf,N,N,NA,NA
299/KB/2017,Kolkata Bench,Creditor,Operational Creditor,Not Available,NA,Not Available,V. Mauriya Udyog Ltd.,Not Available,Not Available,Not Available,Not Available,Not Available,27.07.2017,Not Available,Dismissed,NA,Withdrawn,http://nclt.gov.in/Publication/Kolkata_Bench/2017/Others/90.pdf,N,N,NA,NA
