Case.No.,Bench,Who.filed..Corporate.Debtor..Operational.Creditor..Financial.Creditor,Type.of.Creditor..eg..employee..bank..NBFC.etc..,Type.of.operational.Creditor,Type.of.financial.Creditor,Secured..unsecured,Name.of.Corporate.Debtor,Due.Date.for.payment,Date.of.demand.notice,Date.of.receipt.service.of.Demand.Notice,Date.of.filing.in.NCLT,First.date.of.case.listing,Date.of.final.disposal,Evidence.of.debt..What.kind.of.document.,Admitted..dismissed,Name.of.Insolvency.Professional,Category.for.reason.for.dismissal,URL,BIFR.Y.N.,Appeal..Y.No.,Who.appealed.,Appeal.Allowed.Rejected
CP(IB)/24/ALD/2017,Allahabad Bench,Corporate Debtor,NA,NA,NA,Secured,JEKPL Private Limited,Not Available,NA,NA,Not Available,Not Available,17.03.2017,NA,Admitted,Mr.Dinkar T Subramanium,NA,http://nclt.gov.in/Publication/Allahabad_Bench/2017/Others/JEKPL%20Private%20Limited.pdf,N,Y,Corporate Debtor,Unclear
CP(IB) No 1/BB/17,Bengaluru Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Falcon Tyres Limited,Not Available,24.01.2017,Not Available,10.03.2017,Not Available,28.04.2017,Bank Statement,Admitted,Anand Ramchandra Bhat,NA,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/Belthangady%20Taluk%20Rubber%20Grower's%20Marketing%20&%20Processing%20Co%20operative%20Society%20Ltd%201%202017%20FO.pdf,N,N,NA,NA
CP(IB) No 13/BB/17,Bengaluru Bench,Corporate Debtor,NA,NA,NA,Not Available,24*7 Learning Private Limited,Not Available,NA,NA,Not Available,Not Available,28.04.2017,Audited financial statements,Admitted,Ramesh Kumar Bhat,NA,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/24X7%20Learning%20Pvt%20Ltd%2013%2017%20FO.pdf,N,N,NA,NA
CP(IB) No 17/2017,Bengaluru Bench,Creditor,Operational Creditor,Vendor,NA,Not Available,Avni Energy Solutions Private Limited,Not Available,Not Available,Not Available,Not Available,Not Available,17.04.2017,Not Available,Dismissed,NA,Other,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/Fortune%20Plastech%20IB%2017%2017%20FO.pdf,N,N,NA,NA
CP(IB) No 6/BB/17,Bengaluru Bench,Creditor,Operational Creditor,Vendor,NA,Unsecured,Jackonblock Facility Services Private Limited,Not Available,01.03.2017,Not Available,Not Available,Not Available,17.04.2017,Bank statements,Admitted,Mr.Thirupal Gorige,NA,http://nclt.gov.in/Publication/Bengaluru_Bench/2017/Others/170418Subodha%20Entertainments%20Co%20IB6%2017%20FO.pdf,N,N,NA,NA
CP(IB) No. 16/Chd/PB/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Secured,Dunn Foods Private Limited,Not Available,NA,NA,Not Available,25.04.2017,02.05.2017,NA,Admitted,Mr. Krishnan Vind Jain,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/13.pdf,N,N,NA,NA
CP(IB) No. 15/Chd/CHD/2017 ,Chandigarh Bench,Creditor,Financial Creditor,NA,Bank,Secured,James Hotels Ltd.,Not Available,NA,NA,Not Available,07.04.2017,27.04.2017,Sanction Letter ,Admitted,Not appointed,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/6.pdf,N,Y,Corporate Debtor, Rejected (withdrawn)
CP(IB) No. 9/Chd/PB/2017 ,Chandigarh Bench,Creditor,Operational Creditor,Not Available,NA,Unsecured,Panacea Biotech Limited,Not Available,Not Available,Not Available,Not Available,03.04.2017,18.04.2017,Account statement,Dismissed,NA,Other,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Panacea%20Biotech%2018.04.17.pdf,N,N,NA,NA
CP(IB) No. 10/Chd/Hry/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Secured,SRS Modern Sales Limited,Not Available,NA,NA,Not Available,Not Available,17.04.2017,NA,Admitted,Sameer Rastogi,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/1718SRS%20Modern%20Sales%20Limited%2017.04.2017.pdf,N,N,NA,NA
CP(IB) No. 8/Chd/CHD/2017 ,Chandigarh Bench,Corporate Debtor,NA,NA,NA,Secured,Super MultiColor Printers Private Limited,Not Available,NA,NA,Not Available,Not Available,07.04.2017,NA,Admitted,Prakash Dev Sharma,NA,http://nclt.gov.in/Publication/Chandigarh_Bench/2017/Others/Super%20Multicolour%2007.%2004.2017.pdf,Y,N,NA,NA
